债券代码,交易日期,spread
78071,201009,0.811815729
78071,201010,0.335005195
78071,201012,0.094102935
78071,201103,1.595981812
78071,201104,1.662263609
78071,201105,1.549049558
78071,201106,1.470334746
78071,201107,1.256504921
78071,201108,1.122705586
78071,201109,1.33861783
78071,201110,1.476953735
78071,201111,1.664897509
78071,201112,1.725609288
78071,201201,1.757359661
78071,201202,1.334131417
78071,201203,1.403543588
78071,201204,1.388945716
78071,201205,1.676485237
78071,201206,1.614052298
78071,201207,1.684220512
78071,201208,1.459968048
78071,201209,1.388347481
78071,201210,1.335684393
78071,201211,1.607083939
78071,201212,1.645725385
78071,201301,1.579520318
78071,201302,1.531672488
78071,201303,1.52920178
78071,201304,1.666294859
78071,201305,1.624580815
78071,201306,1.474167652
78071,201307,1.116953063
78071,201308,0.832373798
78071,201309,0.858583874
78071,201310,0.639052938
78071,201311,0.381610719
78071,201312,0.158062771
78071,201401,0.419422993
78071,201402,0.606397097
78071,201403,0.477218862
78071,201404,0.491875911
78071,201405,0.652979971
78071,201406,0.722263289
78071,201407,0.560041253
78071,201408,0.519879644
78071,201409,0.635395569
78071,201410,0.981944837
78071,201411,1.104338401
78071,201412,0.99604142
78071,201501,1.110762163
78071,201502,1.156800156
78071,201503,0.941797062
78071,201504,1.122245604
78071,201505,1.473336124
78071,201506,1.529624357
78071,201507,1.378407553
78071,201508,1.302832628
78071,201509,1.218269244
78071,201510,1.304375724
78071,201511,1.076414047
78071,201512,1.295949877
78071,201601,1.174700689
78071,201602,1.134702331
78071,201603,1.269520615
78071,201604,0.926904974
78071,201605,0.778807951
78071,201606,0.542031212
78071,201607,0.550384291
78071,201608,0.50151349
78071,201609,0.257139716
78071,201612,1.299964932
78071,201701,1.154272917
78071,201702,0.909963662
78071,201703,0.423762605
78075,200807,1.639732321
78075,200808,1.823994395
78075,200809,2.260668226
78075,200810,2.964253696
78075,200811,3.267715964
78075,200812,3.847846363
78075,200901,3.354530351
78075,200902,3.260218125
78075,200903,3.211636793
78075,200904,3.240424943
78075,200905,3.350387832
78075,200906,3.263976054
78075,200907,2.813200128
78075,200908,2.846790734
78075,200909,2.820320368
78075,200910,2.685028331
78075,200911,2.822031616
78075,200912,2.844088062
78075,201002,2.301387838
78075,201003,2.393087685
78075,201004,2.500703153
78075,201005,2.607212387
78075,201006,2.478568692
78075,201007,2.486530231
78075,201008,2.496797816
78075,201009,2.391424159
78075,201010,1.235290286
78075,201011,0.629922042
78075,201012,0.639359747
78075,201101,0.582661385
78075,201102,0.547896031
78075,201103,0.612964531
78075,201104,0.603452683
78075,201105,0.573260764
78075,201106,0.357033126
78075,201107,0.064717641
78075,201110,0.123891957
78075,201111,2.945179601
78075,201112,3.177306058
78075,201201,3.147492852
78075,201202,2.976374935
78075,201203,3.13450163
78075,201204,3.096835741
78075,201205,3.579822769
78075,201206,1.987037852
78075,201207,1.884615918
78075,201208,1.386253354
78075,201209,1.269541584
78075,201210,1.123969639
78075,201211,1.051552886
78075,201212,0.940609631
78075,201301,1.900308204
78075,201302,1.864995144
78075,201303,1.870480882
78075,201304,1.482268898
78075,201305,1.332510346
78075,201306,0.77852026
78075,201307,0.563034558
78075,201308,0.288734159
78075,201309,0.185650855
78075,201310,1.582670906
78075,201311,1.54104586
78075,201312,1.262643703
78075,201401,1.828607242
78075,201402,2.117374483
78075,201403,2.315406991
78075,201404,1.57361715
78075,201405,1.744611559
78075,201406,1.417177766
78075,201407,0.613110404
78075,201408,0.167494535
88002,200902,3.5010111
88002,200903,3.479999241
88002,200904,3.490715078
88002,200905,3.542710432
88002,200906,3.386060803
88002,200907,3.131441368
88002,200908,3.215590536
88002,200909,3.093787463
88002,200910,2.904949138
88002,200911,3.144655874
88002,200912,3.107289951
88002,201001,3.14613131
88002,201002,3.292191787
